Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Portugal,https://www.sofascore.com/uruguay-portugal/eUbsAUb#id:10230539,60%,1.33,1,15,3,6,10,603,10,13,3,No information,3,1,6,6,4,11,1,0,0,No information,2,3,501,19,38,28/62 (45%),4/15 (27%),58%,8,29/54 (54%),15/22 (68%),6/10 (60%),20%,10,7,No information,16,0.51,3,8,2,"28/11/2022, 11:00"
Uruguay,https://www.sofascore.com/uruguay-portugal/eUbsAUb#id:10230539,40%,1.27,2,11,1,2,16,403,12,10,2,No information,3,1,6,2,7,4,0,2,1,No information,2,0,295,18,54,15/46 (33%),4/17 (24%),42%,8,25/54 (46%),7/22 (32%),3/5 (60%),67%,12,12,No information,10,-0.40,1,11,0,"28/11/2022, 11:00"

South korea,https://www.sofascore.com/south-korea-portugal/eUbsKUb#id:10230544,39%,1.71,2,13,5,5,9,357,11,10,2,No information,6,0,2,5,7,6,2,0,1,No information,1,1,281,15,53,29/67 (43%),3/13 (23%),53%,3,25/54 (46%),17/26 (65%),4/13 (31%),55%,11,8,No information,19,0.60,5,9,2,"02/12/2022, 07:00"
Portugal,https://www.sofascore.com/south-korea-portugal/eUbsKUb#id:10230544,61%,1.29,2,13,4,4,10,574,12,9,0,No information,6,0,3,4,7,6,1,1,0,No information,1,5,503,20,67,45/73 (62%),5/18 (28%),47%,5,29/54 (54%),9/26 (35%),8/14 (57%),67%,12,6,No information,11,-0.01,4,7,1,"02/12/2022, 07:00"

Portugal,https://www.sofascore.com/ghana-portugal/eUbsoVb#id:10230534,62%,2.00,5,11,1,3,14,622,16,19,2,No information,5,0,3,3,7,4,3,2,2,No information,4,1,551,9,52,32/48 (67%),5/20 (25%),57%,9,37/71 (52%),19/27 (70%),2/7 (29%),81%,16,5,No information,15,-0.37,1,6,3,"24/11/2022, 08:00"
Ghana,https://www.sofascore.com/ghana-portugal/eUbsoVb#id:10230534,38%,0.93,2,9,2,3,19,387,14,14,4,No information,3,0,5,1,3,6,2,0,0,No information,0,1,315,11,44,20/43 (47%),1/11 (9%),43%,12,34/71 (48%),8/27 (30%),7/11 (64%),50%,14,6,No information,17,-0.01,2,12,2,"24/11/2022, 08:00"

Belgium,https://www.sofascore.com/belgium-portugal/eUbsrUb#id:8594144,43%,0.24,No information,6,4,0,14,451,17,9,2,No information,1,0,4,1,1,5,No information,No information,No information,No information,1,1,375,9,50,31/60 (52%),1/5 (20%),48%,10,38/81 (47%),14/28 (50%),14/21 (67%),41%,17,7,No information,28,0.79,4,13,1,"27/06/2021, 12:00"
Portugal,https://www.sofascore.com/belgium-portugal/eUbsrUb#id:8594144,57%,1.35,No information,23,0,3,9,596,17,13,3,No information,4,1,14,5,9,14,No information,No information,No information,No information,4,3,529,17,66,42/68 (62%),5/22 (23%),52%,9,43/81 (53%),14/28 (50%),13/21 (62%),71%,17,11,No information,9,-0.90,0,5,0,"27/06/2021, 12:00"

Portugal,https://www.sofascore.com/portugal-ireland/TTbseUb#id:9223845,69%,No information,1,20,1,7,6,774,14,8,No information,No information,9,1,4,7,11,9,No information,1,1,33,1,2,723,11,63,28/39 (72%),3/13 (23%),61%,4,31/51 (61%),3/5 (60%),9/15 (60%),86%,14,4,54,9,No information,1,2,2,"01/09/2021, 11:45"
