Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Ukraine,https://www.sofascore.com/ukraine-bosnia-and-herzegovina/EObsbUb#id:9223957,66%,No information,3,12,1,4,20,530,12,12,4,No information,4,0,5,3,7,5,2,1,1,No information,5,2,439,23,61,39/69 (57%),3/18 (17%),45%,10,31/70 (44%),13/28 (46%),8/13 (62%),83%,12,9,48,17,No information,1,11,0,"16/11/2021, 11:45"

Ukraine,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,55%,No information,1,11,3,3,13,565,8,12,0,No information,5,1,4,2,7,4,0,1,0,No information,3,1,472,22,50,17/53 (32%),2/13 (15%),49%,7,28/56 (50%),9/20 (45%),8/12 (67%),75%,8,16,No information,18,No information,3,10,1,"28/03/2021, 11:45"
Finland,https://www.sofascore.com/finland-ukraine/bUbsmUb#id:9223721,45%,No information,2,16,4,2,12,470,11,13,1,No information,5,0,9,2,10,6,1,1,1,No information,0,0,374,15,44,26/55 (47%),3/12 (25%),51%,5,28/56 (50%),11/20 (55%),4/7 (57%),64%,11,11,No information,18,No information,4,5,1,"28/03/2021, 11:45"

France,https://www.sofascore.com/ukraine-france/GObsbUb#id:9223734,39%,No information,3,8,4,3,9,404,9,6,2,No information,3,0,5,0,5,3,0,3,0,No information,2,1,339,16,38,19/35 (54%),3/12 (25%),42%,11,18/46 (39%),8/16 (50%),4/7 (57%),67%,9,6,No information,16,No information,4,6,1,"24/03/2021, 12:45"
Ukraine,https://www.sofascore.com/ukraine-france/GObsbUb#id:9223734,61%,No information,3,16,2,3,6,649,14,8,1,No information,5,1,8,3,9,7,1,2,1,No information,1,1,583,27,79,18/34 (53%),6/17 (35%),58%,6,28/46 (61%),8/16 (50%),6/9 (67%),29%,14,9,No information,10,No information,2,7,1,"24/03/2021, 12:45"

Ukraine,https://www.sofascore.com/kazakhstan-ukraine/bUbsxVb#id:9223724,41%,No information,0,11,7,3,11,407,9,8,2,No information,6,0,3,2,3,8,0,0,0,No information,0,1,316,12,44,28/68 (41%),1/16 (6%),45%,5,23/55 (42%),15/30 (50%),6/7 (86%),44%,9,15,No information,13,No information,7,16,1,"31/03/2021, 11:45"
Kazakhstan,https://www.sofascore.com/kazakhstan-ukraine/bUbsxVb#id:9223724,59%,No information,7,25,4,4,8,576,6,10,2,No information,9,3,7,9,16,9,1,6,2,No information,3,1,494,15,62,22/45 (49%),8/19 (42%),55%,7,32/55 (58%),15/30 (50%),16/18 (89%),67%,6,10,No information,8,No information,4,7,1,"31/03/2021, 11:45"

Ukraine,https://www.sofascore.com/northern-ireland-ukraine/bUbsLVb#id:9536907,63%,No information,No information,12,1,3,15,No information,No information,7,1,0,4,No information,8,No information,No information,No information,No information,No information,No information,No information,No information,2,No information,10,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,1,7,1,"03/06/2021, 11:00"
Northern ireland,https://www.sofascore.com/northern-ireland-ukraine/bUbsLVb#id:9536907,37%,No information,No information,5,4,3,6,No information,No information,17,1,0,1,No information,4,No information,No information,No information,No information,No information,No information,No information,No information,1,No information,19,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,4,9,0,"03/06/2021, 11:00"

