Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Scotland,https://www.sofascore.com/ukraine-scotland/VTbsbUb#id:10023418,46%,No information,0,7,3,5,6,397,8,14,3,No information,1,0,3,3,3,4,No information,0,0,No information,4,1,308,23,66,37/71 (52%),1/16 (6%),53%,5,26/52 (50%),15/26 (58%),5/13 (38%),50%,8,11,No information,10,No information,3,11,0,"27/09/2022, 11:45"

Cyprus,https://www.sofascore.com/scotland-cyprus/HObsVTb#id:10752471,43%,No information,0,5,1,0,12,461,14,10,3,No information,3,0,1,1,1,4,0,0,0,No information,2,3,399,19,42,26/52 (50%),0/6 (0%),48%,4,29/62 (47%),10/20 (50%),6/16 (38%),71%,14,8,46,13,No information,1,8,3,"08/09/2023, 11:45"
Scotland,https://www.sofascore.com/scotland-cyprus/HObsVTb#id:10752471,57%,No information,3,14,3,2,11,597,14,12,0,No information,4,1,6,4,7,7,2,1,1,No information,3,1,542,20,54,48/71 (68%),4/13 (31%),52%,7,33/62 (53%),10/20 (50%),7/14 (50%),64%,14,6,56,4,No information,3,8,0,"08/09/2023, 11:45"

Scotland,https://www.sofascore.com/england-scotland/VTbsnUb#id:11072073,40%,No information,0,7,2,1,7,397,9,11,2,No information,0,0,5,2,3,4,0,0,0,No information,3,3,330,14,41,13/43 (30%),2/10 (20%),54%,3,28/48 (58%),11/24 (46%),9/13 (69%),56%,9,3,38,13,No information,2,6,3,"12/09/2023, 11:45"
England,https://www.sofascore.com/england-scotland/VTbsnUb#id:11072073,60%,No information,4,11,0,5,12,610,7,7,2,No information,5,0,5,1,10,1,3,1,1,No information,0,2,546,14,46,40/68 (59%),1/11 (9%),46%,4,20/48 (42%),13/24 (54%),6/11 (55%),57%,7,3,38,15,No information,0,8,1,"12/09/2023, 11:45"

Spain,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752507,74%,No information,4,18,1,7,15,637,8,8,4,No information,5,1,8,5,14,4,2,2,1,No information,1,3,574,16,69,39/52 (75%),6/31 (19%),45%,4,20/46 (43%),14/30 (47%),6/11 (55%),38%,8,0,51,10,No information,1,5,2,"12/10/2023, 11:45"
Scotland,https://www.sofascore.com/spain-scotland/VTbsYTb#id:10752507,26%,No information,3,4,2,1,8,223,9,15,3,No information,1,0,2,1,4,0,0,3,0,No information,1,1,153,11,35,26/59 (44%),1/8 (13%),55%,5,26/46 (57%),16/30 (53%),3/6 (50%),78%,9,12,44,24,No information,2,16,0,"12/10/2023, 11:45"

Scotland,https://www.sofascore.com/scotland-denmark/BObsVTb#id:9223956,41%,No information,3,9,2,10,6,389,9,8,0,No information,5,1,2,2,6,3,1,2,1,No information,0,1,296,21,58,33/71 (46%),5/25 (20%),52%,3,23/41 (56%),15/32 (47%),6/13 (46%),33%,9,13,No information,28,No information,2,8,2,"15/11/2021, 11:45"
Denmark,https://www.sofascore.com/scotland-denmark/BObsVTb#id:9223956,59%,No information,0,10,2,6,8,575,10,4,1,No information,2,0,2,6,6,4,0,0,0,No information,1,1,481,25,39,22/42 (52%),3/27 (11%),48%,6,18/41 (44%),17/32 (53%),5/8 (63%),40%,10,11,No information,29,No information,2,8,0,"15/11/2021, 11:45"

France,https://www.sofascore.com/scotland-france/GObsVTb#id:11277344,52%,No information,7,17,3,2,13,581,12,22,0,No information,8,2,5,4,13,4,4,3,2,No information,5,4,523,12,62,35/54 (65%),2/8 (25%),62%,4,45/70 (64%),7/14 (50%),12/17 (71%),58%,12,12,48,8,No information,3,3,4,"17/10/2023, 12:00"
Scotland,https://www.sofascore.com/scotland-france/GObsVTb#id:11277344,48%,No information,1,6,4,1,23,523,9,13,3,No information,4,0,2,0,4,2,1,0,0,No information,4,1,460,16,35,17/34 (50%),2/8 (25%),38%,8,25/70 (36%),7/14 (50%),4/8 (50%),56%,9,6,42,8,No information,4,4,1,"17/10/2023, 12:00"

Scotland,https://www.sofascore.com/poland-scotland/VTbsdUb#id:10194024,52%,No information,No information,15,0,6,12,No information,No information,20,0,0,7,No information,6,2,No information,No information,No information,No information,No information,No information,No information,5,No information,21,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,0,6,1,"24/03/2022, 12:45"
Poland,https://www.sofascore.com/poland-scotland/VTbsdUb#id:10194024,48%,No information,No information,9,6,1,18,No information,No information,17,1,0,1,No information,5,3,No information,No information,No information,No information,No information,No information,No information,2,No information,20,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,6,12,1,"24/03/2022, 12:45"

Austria,https://www.sofascore.com/austria-scotland/VTbstUb#id:10216611,55%,No information,No information,25,3,11,16,No information,No information,10,0,0,12,No information,9,4,No information,No information,No information,No information,No information,No information,No information,2,No information,20,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,3,9,2,"29/03/2022, 11:45"
Scotland,https://www.sofascore.com/austria-scotland/VTbstUb#id:10216611,45%,No information,No information,9,10,2,9,No information,No information,18,0,0,5,No information,4,0,No information,No information,No information,No information,No information,No information,No information,1,No information,11,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,10,11,2,"29/03/2022, 11:45"

Scotland,https://www.sofascore.com/armenia-scotland/VTbsPUb#id:10023415,30%,No information,3,9,3,4,11,290,12,11,5,2,4,0,2,3,5,4,1,2,1,No information,1,2,234,14,41,31/60 (52%),1/11 (9%),45%,2,28/60 (47%),6/16 (38%),5/11 (45%),50%,12,3,No information,13,No information,3,11,2,"08/06/2022, 11:45"
