Team,Game Link,Ball possession,Expected goals,Big chances,Total shots,Goalkeeper saves,Corner kicks,Fouls,Passes,Tackles,Free kicks,Yellow cards,Red cards,Shots on target,Hit woodwork,Shots off target,Blocked shots,Shots inside box,Shots outside box,Big chances scored,Big chances missed,Through balls,Touches in penalty area,Fouled in final third,Offsides,Accurate passes,Throw-ins,Final third entries,Long balls,Crosses,Duels,Dispossessed,Ground duels,Aerial duels,Dribbles,Tackles won,Total tackles,Interceptions,Recoveries,Clearances,Goals prevented,Goalkeeper saves,Goal kicks,Goals,Date
Italy,https://www.sofascore.com/football/match/italy-turkiye/aUbshUb#id:10216194,47%,No information,1,10,2,5,12,490,12,16,0,No information,2,0,3,5,6,4,No information,1,No information,14,1,0,429,12,26,16/39 (41%),6/14 (43%),51%,9,32/56 (57%),5/17 (29%),5/6 (83%),67%,12,3,39,11,No information,2,11,2,"03/29/2022, 18:45"

Latvia,https://www.sofascore.com/football/match/latvia-turkiye/aUbsgUb#id:10752418,67%,No information,7,18,1,9,9,580,5,12,4,No information,8,1,10,0,12,6,3,4,1,No information,3,1,501,28,76,41/65 (63%),10/36 (28%),51%,9,26/48 (54%),17/36 (47%),9/13 (69%),100%,5,7,51,15,No information,1,5,3,"06/16/2023, 18:45"
Türkiye,https://www.sofascore.com/football/match/latvia-turkiye/aUbsgUb#id:10752418,33%,No information,3,9,4,5,12,280,13,9,4,No information,2,1,6,1,7,2,0,3,0,No information,1,3,198,15,32,22/47 (47%),6/17 (35%),49%,4,22/48 (46%),19/36 (53%),1/2 (50%),46%,13,9,46,41,No information,4,13,2,"06/16/2023, 18:45"

Türkiye,https://www.sofascore.com/football/match/croatia-turkiye/aUbspUb#id:10752408,63%,No information,1,17,6,5,5,657,11,8,4,No information,5,0,5,7,10,7,0,1,0,No information,1,6,595,17,60,24/35 (69%),5/22 (23%),46%,19,29/69 (42%),14/25 (56%),10/17 (59%),64%,11,9,58,6,No information,6,5,2,"03/28/2023, 18:45"
Croatia,https://www.sofascore.com/football/match/croatia-turkiye/aUbspUb#id:10752408,37%,No information,5,14,4,4,9,394,26,5,5,No information,6,0,5,3,9,5,1,4,4,No information,0,2,321,15,49,20/50 (40%),2/8 (25%),54%,7,40/69 (58%),11/25 (44%),9/13 (69%),62%,26,8,64,23,No information,4,4,0,"03/28/2023, 18:45"

Türkiye,https://www.sofascore.com/football/match/croatia-turkiye/aUbspUb#id:10752408,63%,No information,1,17,6,5,5,657,11,8,4,No information,5,0,5,7,10,7,0,1,0,No information,1,6,595,17,60,24/35 (69%),5/22 (23%),46%,19,29/69 (42%),14/25 (56%),10/17 (59%),64%,11,9,58,6,No information,6,5,2,"03/28/2023, 18:45"
Croatia,https://www.sofascore.com/football/match/croatia-turkiye/aUbspUb#id:10752408,37%,No information,5,14,4,4,9,394,26,5,5,No information,6,0,5,3,9,5,1,4,4,No information,0,2,321,15,49,20/50 (40%),2/8 (25%),54%,7,40/69 (58%),11/25 (44%),9/13 (69%),62%,26,8,64,23,No information,4,4,0,"03/28/2023, 18:45"

Türkiye,https://www.sofascore.com/football/match/turkiye-norway/AObsaUb#id:9223918,53%,No information,1,10,1,3,7,513,10,8,3,No information,2,0,7,1,4,6,1,0,No information,No information,0,3,400,15,73,50/91 (55%),0/19 (0%),44%,6,22/46 (48%),18/45 (40%),4/8 (50%),50%,10,9,No information,20,No information,1,7,1,"10/08/2021, 18:45"
Norway,https://www.sofascore.com/football/match/turkiye-norway/AObsaUb#id:9223918,47%,No information,2,13,1,5,8,458,10,6,2,No information,2,1,6,5,9,4,1,1,No information,No information,1,3,343,26,54,27/60 (45%),8/22 (36%),56%,7,24/46 (52%),27/45 (60%),8/11 (73%),50%,10,7,No information,14,No information,1,9,1,"10/08/2021, 18:45"

Latvia,https://www.sofascore.com/football/match/latvia-turkiye/aUbsgUb#id:9223919,67%,No information,7,18,1,9,9,580,5,12,4,No information,8,1,10,0,12,6,3,4,1,No information,3,1,501,28,76,41/65 (63%),10/36 (28%),51%,9,26/48 (54%),17/36 (47%),9/13 (69%),100%,5,7,51,15,No information,1,5,2,"10/11/2021, 18:45"
Türkiye,https://www.sofascore.com/football/match/latvia-turkiye/aUbsgUb#id:9223919,33%,No information,3,9,4,5,12,280,13,9,4,No information,2,1,6,1,7,2,0,3,0,No information,1,3,198,15,32,22/47 (47%),6/17 (35%),49%,4,22/48 (46%),19/36 (53%),1/2 (50%),46%,13,9,46,41,No information,4,13,1,"10/11/2021, 18:45"

Türkiye,https://www.sofascore.com/football/match/gibraltar-turkiye/aUbsoKbb#id:9223941,78%,No information,4,36,0,14,14,569,16,6,1,0,15,1,11,10,25,11,3,1,No information,No information,2,6,505,13,88,35/48 (73%),15/52 (29%),52%,3,28/59 (47%),13/20 (65%),6/16 (38%),63%,16,4,No information,7,No information,0,1,6,"11/13/2021, 17:00"
Gibraltar,https://www.sofascore.com/football/match/gibraltar-turkiye/aUbsoKbb#id:9223941,22%,No information,0,2,8,0,6,173,13,13,2,1,0,0,1,1,1,1,0,0,No information,No information,3,0,90,17,37,23/66 (35%),1/5 (20%),48%,8,31/59 (53%),7/20 (35%),6/14 (43%),31%,13,5,No information,44,No information,8,13,0,"11/13/2021, 17:00"

Montenegro,https://www.sofascore.com/football/match/montenegro-turkiye/aUbsORc#id:9223954,28%,No information,1,12,6,3,5,261,10,7,2,No information,3,0,7,2,8,4,0,1,1,No information,0,1,182,12,43,20/53 (38%),2/14 (14%),60%,3,29/50 (58%),12/18 (67%),12/22 (55%),30%,10,10,No information,26,No information,6,7,2,"11/16/2021, 19:45"
Türkiye,https://www.sofascore.com/football/match/montenegro-turkiye/aUbsORc#id:9223954,72%,No information,3,16,1,7,8,706,13,5,0,No information,8,0,4,4,9,7,1,2,2,No information,2,1,609,22,103,36/67 (54%),8/24 (33%),40%,2,21/50 (42%),6/18 (33%),3/11 (27%),54%,13,4,No information,13,No information,1,8,1,"11/16/2021, 19:45"

Portugal,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:9980677,44%,0.72,1,11,1,9,16,433,21,7,3,No information,3,0,4,4,4,7,0,1,0,13,0,0,373,11,47,18/38 (47%),2/16 (13%),47%,9,38/77 (49%),6/16 (38%),10/16 (63%),48%,21,8,45,13,-1.37,1,6,3,"03/24/2022, 19:45"
Türkiye,https://www.sofascore.com/football/match/portugal-turkiye/aUbseUb#id:9980677,56%,1.86,3,12,3,1,8,566,15,16,2,No information,3,0,7,2,9,3,2,1,1,33,1,4,505,17,44,18/34 (53%),6/14 (43%),53%,7,39/77 (51%),10/16 (63%),8/22 (36%),40%,15,9,43,18,0.72,3,8,1,"03/24/2022, 19:45"

Hungary,https://www.sofascore.com/football/match/hungary-turkiye/aUbsjUb#id:8600765,46%,No information,2,8,6,2,11,446,23,11,2,No information,5,0,2,1,5,3,1,1,0,No information,6,1,369,13,35,23/50 (46%),4/12 (33%),46%,11,38/81 (47%),15/34 (44%),4/13 (31%),83%,23,8,51,19,No information,6,11,2,"11/18/2020, 19:45"
Türkiye,https://www.sofascore.com/football/match/hungary-turkiye/aUbsjUb#id:8600765,54%,No information,1,16,4,7,12,514,20,11,2,No information,6,0,7,3,11,5,0,1,1,No information,1,3,453,19,46,33/49 (67%),5/20 (25%),54%,11,43/81 (53%),19/34 (56%),12/24 (50%),75%,20,8,54,16,No information,4,3,0,"11/18/2020, 19:45"

Türkiye,https://www.sofascore.com/football/match/netherlands-turkiye/aUbsfUb#id:9223752,59%,1.09,2,11,2,3,16,536,11,7,4,0,4,0,4,3,7,4,1,1,1,22,0,4,476,10,65,12/28 (43%),3/15 (20%),44%,6,25/62 (40%),12/22 (55%),8/19 (42%),91%,11,8,41,20,-0.25,2,10,4,"03/24/2021, 17:00"
Netherlands,https://www.sofascore.com/football/match/netherlands-turkiye/aUbsfUb#id:9223752,41%,1.31,3,15,3,7,7,361,17,15,1,1,4,1,8,3,9,6,1,2,0,17,3,2,294,8,41,22/48 (46%),5/20 (25%),56%,4,37/62 (60%),10/22 (45%),5/12 (42%),41%,17,12,38,15,-0.70,3,9,2,"03/24/2021, 17:00"

Türkiye,https://www.sofascore.com/football/match/latvia-turkiye/aUbsgUb#id:9223731,67%,No information,7,18,1,9,9,580,5,12,4,No information,8,1,10,0,12,6,3,4,1,No information,3,1,501,28,76,41/65 (63%),10/36 (28%),51%,9,26/48 (54%),17/36 (47%),9/13 (69%),100%,5,7,51,15,No information,1,5,3,"03/30/2021, 18:45"
Latvia,https://www.sofascore.com/football/match/latvia-turkiye/aUbsgUb#id:9223731,33%,No information,3,9,4,5,12,280,13,9,4,No information,2,1,6,1,7,2,0,3,0,No information,1,3,198,15,32,22/47 (47%),6/17 (35%),49%,4,22/48 (46%),19/36 (53%),1/2 (50%),46%,13,9,46,41,No information,4,13,3,"03/30/2021, 18:45"

